customer_id,RECENCY,FREQUENCY,MONETARY,r_score,f_score,m_score,r_rank,f_rank,m_rank,Segmentation
51228,13,14,2750449,0.30232342,0.322026022,0.308271375,2,2,2,Loyal Customers
51391,9,7,2748850,0.24972119,0.453345725,0.308364312,1,2,2,VIP Customers
747,332,20,2747500,0.773977695,0.262453532,0.308457249,4,2,2,Potential Customers
32174,7,41,2744100,0.210966543,0.164962825,0.308550186,1,1,2,VIP Customers
9930,699,6,2742960,0.983364312,0.486431227,0.308643123,4,2,2,Potential Customers
13927,9,7,2742730,0.24972119,0.453345725,0.308736059,1,2,2,VIP Customers
42090,22,9,2741118,0.39739777,0.405947955,0.308828996,2,2,2,Loyal Customers
8514,51,6,2740357,0.522490706,0.486431227,0.308921933,3,2,2,Potential Customers
34511,1,22,2732250,0.050185874,0.247118959,0.30901487,1,1,2,VIP Customers
58481,19,3,2730250,0.364405204,0.647769517,0.309107807,2,3,2,New Customers
2149,107,19,2729533,0.615799257,0.27035316,0.309200743,3,2,2,Potential Customers
13712,358,14,2729240,0.820260223,0.322026022,0.30929368,4,2,2,Potential Customers
37876,20,15,2726073,0.378717472,0.310687732,0.309386617,2,2,2,Loyal Customers
265,33,10,2726024,0.446840149,0.38429368,0.309479554,2,2,2,Loyal Customers
23554,14,10,2722856,0.313011152,0.38429368,0.309572491,2,2,2,Loyal Customers
30325,69,19,2722626,0.551765799,0.27035316,0.309665428,3,2,2,Potential Customers
4338,134,19,2720800,0.644702602,0.27035316,0.309758364,3,2,2,Potential Customers
8904,382,10,2720500,0.836431227,0.38429368,0.309851301,4,2,2,Potential Customers
21672,237,14,2718250,0.725092937,0.322026022,0.309944238,3,2,2,Potential Customers
21601,18,34,2717800,0.356319703,0.189776952,0.310037175,2,1,2,VIP Customers
21451,286,20,2717600,0.745910781,0.262453532,0.310130112,3,2,2,Potential Customers
11553,4,25,2715050,0.142750929,0.22964684,0.310223048,1,1,2,VIP Customers
15973,275,6,2715000,0.741078067,0.486431227,0.310315985,3,2,2,Potential Customers
22436,10,25,2711939,0.266914498,0.22964684,0.310408922,2,1,2,VIP Customers
3478,40,39,2707820,0.477973978,0.171096654,0.310501859,2,1,2,VIP Customers
59510,18,8,2705803,0.356319703,0.426858736,0.310594796,2,2,2,Loyal Customers
32978,10,12,2701300,0.266914498,0.349907063,0.310687732,2,2,2,Loyal Customers
17915,594,12,2700262,0.923513011,0.349907063,0.310780669,4,2,2,Potential Customers
47519,1,55,2700250,0.050185874,0.126858736,0.310873606,1,1,2,VIP Customers
24033,3,10,2700000,0.117193309,0.38429368,0.310966543,1,2,2,VIP Customers
42985,47,3,2700000,0.503159851,0.647769517,0.310966543,3,3,2,Lost Customers
33814,0,30,2698340,0,0.206319703,0.311152416,1,1,2,VIP Customers
22941,9,14,2697530,0.24972119,0.322026022,0.311245353,1,2,2,VIP Customers
57577,19,11,2693935,0.364405204,0.367193309,0.31133829,2,2,2,Loyal Customers
710,108,2,2692035,0.617472119,0.719795539,0.311431227,3,3,2,Lost Customers
15545,68,30,2690710,0.549814126,0.206319703,0.311524164,3,1,2,Loyal Customers
47700,140,7,2685696,0.652509294,0.453345725,0.3116171,3,2,2,Potential Customers
7220,503,13,2685400,0.893680297,0.335130112,0.311710037,4,2,2,Potential Customers
8595,387,16,2684000,0.83894052,0.299814126,0.311802974,4,2,2,Potential Customers
5580,41,21,2677155,0.481133829,0.254275093,0.311895911,2,2,2,Loyal Customers
45161,18,7,2676800,0.356319703,0.453345725,0.311988848,2,2,2,Loyal Customers
32626,1,18,2672975,0.050185874,0.279739777,0.312081784,1,2,2,VIP Customers
53091,59,9,2671760,0.53866171,0.405947955,0.312174721,3,2,2,Potential Customers
57466,14,13,2667883,0.313011152,0.335130112,0.312267658,2,2,2,Loyal Customers
3212,150,23,2664530,0.679275093,0.241728625,0.312360595,3,1,2,Loyal Customers
3345,1,9,2664408,0.050185874,0.405947955,0.312453532,1,2,2,VIP Customers
24663,3,21,2663950,0.117193309,0.254275093,0.312546468,1,2,2,VIP Customers
3905,316,36,2660160,0.7616171,0.181598513,0.312639405,4,1,2,Potential Customers
41535,254,6,2655000,0.733085502,0.486431227,0.312732342,3,2,2,Potential Customers
33272,8,25,2648740,0.232342007,0.22964684,0.312825279,1,1,2,VIP Customers
